Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Joseph Socarras,M,SBD,Raw,24.5,24-34,24-39,MR-O,101.9,105,187.5,205.0,225.0,,225.0,117.5,-127.5,-137.5,,117.5,190.0,207.5,227.5,,227.5,570.0,9,348.04,344.36,328.83,71.37,Yes,USA,FL,USAPL,IPF,2021-03-21,USA,FL,,6th Annual Orlando Open Championships
Luke Mathewson,M,SBD,Raw,23.5,24-34,24-39,MR-O,81.0,83,235.0,242.5,250.0,,250.0,157.5,162.5,-170.0,,162.5,255.0,265.0,-275.0,,265.0,677.5,23,463.79,458.96,441.97,94.95,Yes,USA,NY,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals
Ryan O'Donnell,M,SBD,Raw,25.0,24-34,24-39,M-O,81.7,82.5,,,,,160.0,,,,,117.5,,,,,205.0,482.5,6,328.66,325.14,312.98,67.33,Yes,USA,,IDFPF,WDFPF,2017-09-30,Ireland,,Letterkenny,National Full Power Championships
Teddy Kirche,M,SBD,Raw,32.0,24-34,24-39,Open,87.4,90,197.5,217.5,227.5,,227.5,125.0,137.5,142.5,,142.5,230.0,252.5,-260.0,,252.5,622.5,3,408.62,403.55,387.27,83.97,,USA,FL,USPA,IPL,2021-11-20,USA,FL,Miami,Miami Throwdown
Tristan Heidl,M,SBD,Raw,25.0,24-34,24-39,Open,80.8,82.5,-182.5,182.5,-197.5,,182.5,125.0,130.0,-135.0,,130.0,220.0,230.0,237.5,,237.5,550.0,4,377.05,373.15,359.39,77.18,Yes,USA,OH,USPA,IPL,2021-02-20,USA,PA,Altoona,Drug Tested Gorilla House Gym Power Bowl
John Ferrentino,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,99.6,105,160.0,170.0,182.5,,182.5,120.0,127.5,137.5,,137.5,202.5,217.5,-227.5,,217.5,537.5,4,331.42,327.64,312.96,68.03,Yes,USA,NJ,USAPL,IPF,2016-12-03,USA,RI,,New England Open
Cameron Caylor,M,SBD,Raw,26.0,24-34,24-39,Open,88.2,90,142.5,152.5,155.0,,155.0,105.0,112.5,117.5,,117.5,180.0,192.5,202.5,,202.5,475.0,3,310.32,306.43,293.95,63.78,,USA,TX,USPA,IPL,2019-10-12,USA,TX,Houston,John Griffin Open
Eduard Posobilov,M,SBD,Raw,39.5,35-39,40-49,Amateur Masters 40-44,105.45,110,170.0,180.0,190.0,,190.0,120.0,130.0,135.0,,135.0,170.0,190.0,210.0,,210.0,535.0,1,322.1,319.21,304.83,65.92,Yes,Russia,,WPC,WPC,2010-09-29,Russia,SVE,Yekaterinburg,Asian Championships
Henry Chung,M,SBD,Raw,24.5,24-34,24-39,MR-O,73.7,74,127.5,135.0,142.5,,142.5,77.5,82.5,-87.5,,82.5,142.5,152.5,160.0,,160.0,385.0,5,279.34,277.74,268.56,56.64,Yes,USA,MD,USAPL,IPF,2018-04-28,USA,DC,,District Open
Josh Ferrarro,M,SBD,Raw,29.0,24-34,24-39,Open,90.0,90,,,,,197.31,,,,,127.01,,,,,249.48,573.8,2,371.02,366.31,351.07,76.28,Yes,USA,PA,ADAU,,2004-06-12,USA,PA,Erie,Powerlifting Nationals
Krishna Chhetri,M,SBD,Raw,29.0,24-34,24-39,MR-O,79.8,83,195.0,-205.0,-205.0,,195.0,107.5,117.5,-125.0,,117.5,-200.0,200.0,215.0,,215.0,527.5,28,364.27,360.69,347.58,74.49,Yes,,,APU,IPF,2023-10-28,Australia,NSW,,NSW State Classic Open Men's Powerlifting and Bench Press Championships
Chad Carandang,M,SBD,Raw,20.0,20-23,19-23,Juniors 20-23,74.07,75,,,,,152.5,,,,,120.0,,,,,197.5,470.0,2,339.91,337.85,326.62,68.97,,USA,CA,USPA,IPL,2013-12-14,USA,CA,Modesto,NorCal Open Championships
Miguel Cervantes,M,SBD,Raw,26.0,24-34,24-39,Open,72.4,75,140.0,150.0,160.0,,160.0,140.0,-147.5,147.5,,147.5,180.0,205.0,-225.0,,205.0,512.5,2,376.24,374.5,362.4,76.1,Yes,USA,CA,USPA,IPL,2022-01-15,USA,CA,Bakersfield,Drug Tested Naspower Cup
Oliver Doyen,M,SBD,Raw,16.0,16-17,14-18,Open,91.4,93,-165.0,172.5,-177.5,,172.5,110.0,-115.0,115.0,,115.0,175.0,187.5,190.0,,190.0,477.5,16,306.39,302.49,289.71,63.0,Yes,Belgium,,VGPF,IPF,2023-09-16,Belgium,,Lokeren,Interclub 3
Vincent Knatz,M,SBD,Raw,27.5,24-34,24-39,Open,104.3,105,157.5,-165.0,-167.5,,157.5,132.5,137.5,-140.0,,137.5,187.5,202.5,-207.5,,202.5,497.5,7,300.85,297.99,284.54,61.62,Yes,Germany,,BVDK,IPF,2018-09-09,Germany,BW,Fellbach,LM BWG KDK RAW
Cristian Carrillo,M,SBD,Raw,21.0,20-23,19-23,MR-Jr,185.5,140+,305.0,317.5,327.5,,327.5,210.0,225.0,-235.0,,225.0,255.0,270.0,280.0,,280.0,832.5,1,423.79,445.96,417.38,82.1,Yes,USA,CA,USAPL,,2023-06-24,USA,CA,,Battle In The IE
Isaac Perez,M,SBD,Raw,23.5,24-34,24-39,MR-O,153.0,120+,267.5,285.0,-295.0,,285.0,135.0,-140.0,-140.0,,135.0,240.0,252.5,272.5,,272.5,692.5,3,370.43,382.09,360.71,72.95,Yes,USA,NV,USAPL,IPF,2018-06-16,USA,NV,,Nevada State Championships
John Permessur,M,SBD,Raw,26.0,24-34,24-39,Open,98.4,100,,,,,232.5,,,,,160.0,,,,,260.0,652.5,2,404.47,399.72,381.9,83.07,,USA,NY,USPA,IPL,2019-04-20,USA,NJ,Jersey City,Battle of Jersey City
Brandon Transfiguracion,M,SBD,Raw,23.5,24-34,24-39,MR-Jr,91.7,93,200.0,215.0,225.0,,225.0,130.0,142.5,147.5,,147.5,220.0,235.0,250.0,,250.0,622.5,1,398.78,393.71,377.03,82.0,Yes,USA,VA,USAPL,IPF,2020-01-18,USA,VA,,Virginia Winter Open
Casey Willoughby,M,SBD,Raw,25.5,24-34,24-39,MR-O,110.0,110,,,,,210.9,,,,,142.9,,,,,235.9,589.7,9,349.26,347.03,331.68,71.26,Yes,USA,,USAPL,IPF,2014-04-12,USA,OH,,Battle of the Great Lakes
Dante Bell,M,SBD,Raw,16.5,16-17,14-18,MR-T2,73.9,74,142.5,-152.5,152.5,,152.5,115.0,-120.0,125.0,,125.0,160.0,162.5,177.5,,177.5,455.0,1,329.55,327.6,316.74,66.85,Yes,USA,,USAPL,IPF,2015-07-25,USA,FL,,Central Florida Championship
Joeben Baybayan,M,SBD,Raw,32.0,24-34,24-39,Open,75.0,75,,,,,160.0,,,,,115.0,,,,,185.0,460.0,3,330.01,327.78,316.71,67.06,,USA,CA,USPA,IPL,2017-05-20,USA,CA,Vacaville,Old Skool Iron Classic
Isaac Brandt,M,SBD,Raw,17.0,16-17,14-18,Juniors 16-17,99.4,100,185.0,192.5,-202.5,,192.5,120.0,125.0,,,125.0,207.5,220.0,,,220.0,537.5,1,331.71,327.91,313.22,68.1,Yes,USA,WA,USPA,IPL,2021-01-31,USA,OR,Corvallis,Drug Tested Platform Wars
Ahmed Alaseri,M,SBD,Raw,24.0,24-34,24-39,Open,100.3,105,205.0,215.0,220.0,,220.0,130.0,135.0,-140.0,,135.0,-235.0,245.0,-255.0,,245.0,600.0,4,368.83,364.72,348.33,75.69,Yes,,,SSSC,IPF,2022-10-13,Saudi Arabia,,Riyadh,The Kingdom Classic Powerlifting Championships
Tom Clarke #1,M,SBD,Raw,28.5,24-34,24-39,Open,82.7,85,165.0,175.0,-185.0,,175.0,120.0,-130.0,-130.0,,120.0,200.0,215.0,220.0,,220.0,515.0,5,348.38,344.5,331.44,71.42,Yes,,,PA,WP,2021-03-28,Australia,NT,Darwin,Cyclone Challenge
荒谷 康太郎,M,SBD,Raw,16.5,16-17,14-18,High School,70.6,74,112.5,117.5,-122.5,,117.5,67.5,72.5,75.0,,75.0,125.0,135.0,-145.0,,135.0,327.5,16,244.56,243.84,236.22,49.27,Yes,,,JPA,IPF,2017-08-06,Japan,,Saitama,Japanese High School Powerlifting Championships
Zach Favela,M,SBD,Raw,19.0,18-19,19-23,M_OR_APF,81.8,82.5,227.5,-237.5,-237.5,,227.5,152.5,-160.0,-160.0,,152.5,260.0,275.0,-290.0,,275.0,655.0,1,445.85,441.05,424.54,91.34,,,,APF,WPC,2010-06-06,USA,TX,Plano,Metroflex's Show of Strength
Kirill Panov,M,SBD,Raw,30.5,24-34,24-39,Open,103.8,105,,,,,165.0,,,,,165.0,,,,,230.0,560.0,12,339.32,336.0,320.83,69.51,Yes,,,FPR,IPF,2019-12-19,Russia,MOW,Moscow,Moscow City Classic Powerlifting Cup
Xavier Jackson,M,SBD,Raw,23.0,20-23,,Juniors 20-23,89.4,90,,,,,192.5,,,,,147.5,,,,,205.0,545.0,1,353.59,349.12,334.69,72.69,,USA,TX,USPA,IPL,2017-02-25,USA,TX,Humble,All-In Powerlifting Meet
Omar Zadeh,M,SBD,Raw,22.0,20-23,19-23,Juniors 20-23,89.39,90,,,,,227.5,,,,,147.5,,,,,247.5,622.5,1,403.9,398.79,382.31,83.03,,USA,NJ,USPA,IPL,2019-01-19,USA,NJ,Turnersville,Keen Strength Systems Classic
Aldi Ajce,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,72.8,74,145.0,-150.0,,,145.0,102.5,105.0,-107.5,,105.0,170.0,177.5,-182.5,,177.5,427.5,2,312.7,311.14,301.01,63.3,Yes,USA,CT,USAPL,IPF,2021-08-07,USA,CT,,CT Dennis Gleason Memorial
Kevin Roselier,M,SBD,Raw,24.0,24-34,24-39,Seniors,71.55,74,160.0,170.0,-180.0,,170.0,110.0,117.5,122.5,,122.5,160.0,175.0,-180.0,,175.0,467.5,1,345.94,344.6,333.64,69.85,Yes,,,FFForce,IPF,2017-12-09,France,,Plougastel-Daoulas,Régional FA PL Bretagne
Simon Curtis,M,SBD,Raw,27.5,24-34,24-39,Open,91.05,93,165.0,172.5,177.5,,177.5,102.5,-107.5,-107.5,,102.5,195.0,207.5,-212.5,,207.5,487.5,15,313.4,309.41,296.39,64.44,Yes,,,SAPF,IPF,2023-03-30,South Africa,,,South Africa Classic Powerlifting Championships
Adam Fellon,M,SBD,Raw,24.5,24-34,24-39,MR-O,70.0,74,140.0,152.5,-167.5,,152.5,85.0,90.0,97.5,,97.5,185.0,197.5,202.5,,202.5,452.5,2,339.9,339.1,328.62,68.39,Yes,USA,MA,USAPL,IPF,2019-03-24,USA,MA,,Baystate Athletic Club Series Meet 2
Chris Diaz-Colon,M,SBD,Raw,24.5,24-34,24-39,MR-O,130.0,120+,227.5,250.0,260.0,,260.0,165.0,-177.5,-177.5,,165.0,-265.0,282.5,-295.0,,282.5,707.5,1,396.16,400.16,382.26,79.48,Yes,USA,TX,USAPL,IPF,2021-08-21,USA,TX,,Rumble at Rampage
Jadin Fuller,M,SBD,Raw,16.5,16-17,14-18,MR-T2,65.7,67.5,135.0,147.5,-152.5,,147.5,85.0,-92.5,-92.5,,85.0,165.0,175.0,187.5,,187.5,420.0,1,330.2,331.02,321.73,65.63,Yes,USA,MO,USAPL,,2023-03-11,USA,IL,,Shamrock the Compound
Igor Klančišar,M,SBD,Raw,25.0,24-34,24-39,O,72.5,74,127.5,132.5,-137.5,,132.5,75.0,82.5,-87.5,,82.5,130.0,135.0,140.0,,140.0,355.0,1,260.38,259.15,250.76,52.68,Yes,,,PLZS,IPF,2018-03-17,Slovenia,,Domžale,Open National Championship
Mathis Girard,M,SBD,Raw,22.5,20-23,19-23,Open,86.99,93,165.0,172.5,-177.5,,172.5,100.0,-105.0,105.0,,105.0,-200.0,210.0,-230.0,,210.0,487.5,7,320.79,316.84,304.12,65.91,Yes,,,FFForce,IPF,2023-05-11,France,,Montpellier,Coupe de France Universitaire
Jeffrey Nivitanont,M,SBD,Raw,26.0,24-34,24-39,Open,83.4,90,,,,,200.0,,,,,130.0,,,,,232.5,562.5,3,378.72,374.4,360.07,77.68,,USA,OK,USPA,IPL,2015-12-12,USA,TX,Austin,Bend The Bar Power Meet
Henry Yu,M,SBD,Raw,19.5,20-23,19-23,MR-Jr,74.4,75,145.0,155.0,-162.5,,155.0,95.0,102.5,-105.0,,102.5,-180.0,-187.5,187.5,,187.5,445.0,12,320.9,318.88,308.22,65.15,Yes,USA,NY,USAPL,,2023-07-15,USA,NY,,Northeast Regionals
Chris Sargent,M,SBD,Raw,31.5,24-34,24-39,Open,99.45,105,185.0,200.0,207.5,,207.5,115.0,125.0,-127.5,,125.0,200.0,207.5,-215.0,,207.5,540.0,2,333.18,329.37,314.61,68.4,Yes,,,PA,IPF,2017-04-01,Australia,TAS,Hobart,Hobart Open
Joshua Truax,M,SBD,Raw,34.0,24-34,24-39,Open,88.25,90.7,170.0,175.0,182.0,,182.0,132.0,139.0,143.0,,143.0,216.0,227.0,,,227.0,552.0,1,360.52,356.0,341.49,74.1,,USA,MI,USSF,,2021-10-09,USA,,,Powerlifting Championships
