Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Jamie Leslie,M,SBD,Raw,25.5,24-34,24-39,MR-O,82.2,83,167.5,-177.5,-177.5,,167.5,-122.5,-122.5,122.5,,122.5,200.0,207.5,-215.0,,207.5,497.5,4,337.7,334.01,321.44,69.21,Yes,USA,CT,USAPL,IPF,2017-07-22,USA,CT,,Connecticut Summer Showdown
Jason Dayus,M,SBD,Raw,16.5,16-17,14-18,MR-O,90.6,93,-177.5,187.5,-195.0,,187.5,102.5,110.0,-115.0,,110.0,190.0,205.0,220.0,,220.0,517.5,8,333.5,329.26,315.47,68.57,Yes,USA,MI,USAPL,IPF,2017-06-03,USA,MI,,Unreal BarBellum
Sebastian Garheim Ege,M,SBD,Raw,17.5,18-19,14-18,Teen 14-18,91.05,93,190.0,200.0,-215.0,,200.0,125.0,130.0,-137.5,,130.0,220.0,-230.0,230.0,,230.0,560.0,1,360.0,355.42,340.47,74.02,Yes,,,NSF,IPF,2018-12-08,Norway,,Ganddal,Åpent stevne
Vitaliy Mazin,M,SBD,Raw,16.5,16-17,14-18,Open,72.7,74,,,,,110.0,,,,,75.0,,,,,140.0,325.0,10,237.94,236.77,229.08,48.15,Yes,,,FPR,IPF,2019-11-09,Russia,NIZ,Gorodets,Nizhny Novgorod Powerlifting Championships
Kevin Verrijzer,M,SBD,Raw,22.5,20-23,19-23,Open,83.51,93,160.0,167.5,-172.5,,167.5,-105.0,107.5,110.0,,110.0,-200.0,210.0,225.0,,225.0,502.5,54,338.07,334.21,321.4,69.34,Yes,Netherlands,,KNKF-SP,IPF,2023-09-09,Netherlands,,Nijmegen,SBD Cup
Hyung Yul Kim,M,SBD,Raw,29.5,24-34,24-39,MR-O,99.5,100,222.5,-232.5,-232.5,,222.5,127.5,132.5,-135.0,,132.5,207.5,-225.0,-225.0,,207.5,562.5,6,346.98,343.02,327.65,71.23,Yes,South Korea,,USAPL,,2023-04-01,South Korea,,,Korea DR. STRENGTH Spring Classic
David Grant,M,SBD,Raw,18.0,18-19,,Juniors 18-19,97.3,100,200.0,-210.0,210.0,,210.0,120.0,127.5,-137.5,,127.5,192.5,197.5,207.5,,207.5,545.0,1,339.54,335.46,320.59,69.76,Yes,USA,MN,USPA,IPL,2022-09-11,USA,IA,Mason City,Drug Tested Battle of the North
Garry Nabors,M,SBD,Raw,32.5,24-34,24-39,Open,105.41,110,,,,,233.6,,,,,165.56,,,,,281.23,680.39,1,409.7,406.02,387.72,83.85,,USA,,SPF,,2020-11-14,USA,TN,Knoxville,Record Breakers
Parker Robert Boyd,M,SBD,Raw,16.0,16-17,14-18,M_TR_2_WPC,132.4,140,172.5,187.5,195.0,208.0,195.0,105.0,115.0,125.0,132.5,125.0,215.0,222.5,237.5,-247.5,237.5,557.5,1,310.47,314.31,299.91,62.16,,Canada,,WPC,WPC,2016-11-07,USA,LA,Baton Rouge,World Championships
Dylan Johnson #9,M,SBD,Raw,16.5,16-17,14-18,MR-T2,72.7,75,-130.0,137.5,-150.0,,137.5,72.5,82.5,-90.0,,82.5,160.0,172.5,-182.5,,172.5,392.5,2,287.36,285.95,276.66,58.16,Yes,USA,NJ,USAPL,,2023-04-22,USA,NJ,,New Jersey State Championship
Joseph McGannon,M,SBD,Raw,22.0,20-23,19-23,Juniors 20-24,87.32,90,,,,,190.0,,,,,127.5,,,,,252.5,570.0,2,374.34,369.7,354.8,76.92,Yes,USA,AZ,RAW,,2014-03-29,USA,AZ,Prescott,Southwest Regional
Tyler Vickery,M,SBD,Raw,22.0,20-23,19-23,Juniors 20-23,105.78,110,,,,,262.5,,,,,165.0,,,,,237.5,665.0,1,399.87,396.35,378.51,81.82,,USA,TX,USPA,IPL,2014-07-26,USA,TX,Austin,Naturally Fit Expo Games
Jueniewann Md Husaini,M,SBD,Raw,25.0,24-34,24-39,M-O,73.4,74,-180.0,180.0,-190.0,,180.0,117.5,125.0,-127.5,,125.0,240.0,-250.0,-260.0,,240.0,545.0,9,396.49,394.31,381.35,80.35,Yes,,,PS,IPF,2023-08-12,Singapore,,Singapore,Open Nationals
Bradley Nealon,M,SBD,Raw,23.5,24-34,24-39,MR-O,81.9,83,177.5,-187.5,192.5,,192.5,120.0,-127.5,-127.5,,120.0,207.5,222.5,235.0,,235.0,547.5,3,372.42,368.39,354.58,76.3,Yes,USA,PA,USAPL,IPF,2017-02-25,USA,PA,,Liberty Bell Classic
Sean Fury,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,89.9,93,142.5,155.0,162.5,,162.5,115.0,-122.5,122.5,,122.5,-180.0,200.0,210.0,,210.0,495.0,5,320.25,316.18,303.05,65.84,Yes,,,APU,IPF,2023-07-01,Australia,NSW,,First Nations Cup II
Jelani Reyes,M,SBD,Raw,23.0,20-23,24-39,M_OR_APF,74.4,75,180.0,192.5,,,192.5,112.5,125.0,-137.5,,125.0,220.0,-237.5,-237.5,,220.0,537.5,1,387.61,385.16,372.29,78.69,,USA,,APF,WPC,2023-08-19,USA,,,Culture Fit Expo
Jose Fernando Ical,M,SBD,Raw,22.0,20-23,19-23,Juniors,58.5,59,151.95,158.76,,,158.76,74.84,83.91,,,83.91,158.76,165.56,,,165.56,408.23,3,351.9,356.42,348.55,67.86,Yes,,,Fedepotencia,IPF,2021-05-29,Guatemala,,,Campeonato Nacional Subjunior & Junior Powerlifting
Feras Naim,M,SBD,Raw,17.5,18-19,14-18,Youth A,102.1,105,175.0,185.0,-195.0,,185.0,102.5,105.0,-110.0,,105.0,220.0,236.0,-245.0,,236.0,526.0,1,320.9,317.54,303.22,65.8,Yes,,,BVDK,IPF,2023-09-30,Germany,HE,Langen,LM Hessen KDK Classic JJM
Christopher Otoya,M,SBD,Raw,25.5,24-34,24-39,MR-O,57.7,59,117.5,122.5,130.0,,130.0,75.0,80.0,85.0,,85.0,147.5,155.0,160.0,,160.0,375.0,1,327.05,331.68,324.62,62.8,Yes,USA,VA,USAPL,IPF,2019-02-23,USA,VA,,Virginia Novice Open
Zhuqi Liu,M,SBD,Raw,23.0,20-23,,Open,65.9,67.5,125.0,135.0,-140.0,,135.0,-95.0,-95.0,105.0,,105.0,-157.5,165.0,175.0,,175.0,415.0,3,325.53,326.26,317.06,64.74,,China,,IPL-China,IPL,2022-07-31,China,HUN,Changsha,Changsha First Powerlifting Open
Hamza Ahlalouch,M,SBD,Raw,29.5,24-34,24-39,Seniors,92.9,93,170.0,180.0,-190.0,,180.0,130.0,-137.5,-137.5,,130.0,190.0,200.0,210.0,,210.0,520.0,4,331.02,326.83,312.82,68.06,Yes,,,FFForce,IPF,2021-03-20,France,,Port-la-Nouvelle,Open FA PL DC BP Occitanie
Evgeniy Aryukhov,M,SBD,Raw,25.5,24-34,24-39,Open,63.8,66,,,,,130.0,,,,,90.0,,,,,150.0,370.0,4,297.42,298.9,290.92,58.72,Yes,,,FPR,IPF,2021-09-10,Russia,NIZ,Gorodets,Nizhny Novgorod Oblast Powerlifting Cup
Mauritz Dirks,M,SBD,Raw,25.0,24-34,24-39,Open,90.15,93,152.5,160.0,165.0,,165.0,95.0,100.0,102.5,,102.5,185.0,200.0,-210.0,,200.0,467.5,34,302.03,298.2,285.77,62.1,Yes,,,BVDK,IPF,2023-10-14,Germany,NRW,Köln,Landesmeisterschaft NRW KDK Aktive
Zachary Klampe,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,71.1,74,145.0,152.5,-160.0,,152.5,115.0,125.0,-130.0,,125.0,157.5,175.0,180.0,,180.0,457.5,5,339.99,338.82,328.13,68.58,Yes,USA,,USAPL,IPF,2015-07-18,USA,CA,,CA State Games Powerlifting
Jacob Ourada,M,SBD,Raw,21.0,20-23,19-23,MR-Jr,90.43,93,225.0,-230.0,230.0,,230.0,165.0,-180.0,-180.0,,165.0,245.0,250.0,255.0,,255.0,650.0,22,419.29,413.96,396.65,86.21,Yes,USA,IN,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals
Philip Göbber,M,SBD,Raw,24.5,24-34,24-39,Open,102.5,105,175.0,-190.0,,,175.0,-125.0,132.5,-140.0,,132.5,195.0,,,,195.0,502.5,2,306.07,302.91,289.24,62.74,Yes,Germany,,BVDK,IPF,2018-09-29,Germany,MV,Wahrsow,NDM KDK
Duane Jones,M,SBD,Raw,35.5,35-39,24-39,MR-O,63.4,66,113.4,120.2,-124.7,,120.2,79.4,83.9,-88.5,,83.9,172.4,186.0,195.0,,195.0,399.2,33,322.45,324.23,315.68,63.57,Yes,USA,PA,USAPL,IPF,2016-03-12,USA,PA,,SCI-Graterford Meet
Jonas Breuning,M,SBD,Raw,19.5,20-23,19-23,MR-O,96.8,100,150.0,-162.5,162.5,,162.5,95.0,97.5,-102.5,,97.5,180.0,190.0,-205.0,,190.0,450.0,11,281.01,277.6,265.33,57.74,Yes,USA,WI,USAPL,,2023-03-11,USA,WI,,Madness Open
Grant Meeker,M,SBD,Raw,30.0,24-34,24-39,Open,103.3,110,-152.5,152.5,,,152.5,107.5,112.5,-117.5,,112.5,150.0,,,,150.0,415.0,1,251.96,249.44,238.18,51.63,,USA,CA,USPA,IPL,2019-11-09,USA,CA,Murrieta,Battle for the Yard 3
Patrick PJ Ginn,M,SBD,Raw,22.0,20-23,19-23,M_JR_AAPF,89.3,90,230.0,247.5,-255.0,,247.5,177.5,-185.0,185.0,,185.0,267.5,287.5,-297.5,,287.5,720.0,1,467.4,461.49,442.44,96.09,Yes,,,APF,WPC,2015-03-21,USA,IL,,IL State Meet
Kenny Dusseault,M,SBD,Raw,26.0,24-34,24-39,Open,89.0,90,167.5,177.5,185.0,,185.0,95.0,105.0,-110.0,,105.0,185.0,195.0,205.0,,205.0,495.0,3,321.89,317.83,304.75,66.17,Yes,Canada,ON,RAW-CAN,,2019-05-04,Canada,,,Bar Wars
Preston Estle,M,SBD,Raw,28.0,24-34,24-39,Open,90.9,100,190.0,197.5,-207.5,,197.5,145.0,-150.0,150.0,,150.0,227.5,237.5,245.0,,245.0,592.5,3,381.21,376.36,360.55,78.38,,USA,PA,USPA,IPL,2022-07-16,USA,WV,Morgantown,Blue Ridge Mountain Battle
Jake Harmon,M,SBD,Raw,21.0,20-23,19-23,M_JR_AAPF,114.4,125,213.19,226.8,240.4,,240.4,172.37,-181.44,181.44,,181.44,272.16,294.84,-303.91,,294.84,716.68,1,418.42,417.01,399.1,85.09,Yes,,,APF,WPC,2013-01-26,USA,MI,Grand Rapids,Great Lakes Open
Andriy Popov,M,SBD,Raw,22.5,20-23,19-23,Juniors,93.5,105,,,,,160.0,,,,,105.0,,,,,150.0,415.0,9,263.37,260.04,248.84,54.15,Yes,Ukraine,,UkrainePF,IPF,2014-02-17,Ukraine,,Kramatorsk,Donetsk Classic Powerlifting Championships
Jack Wang,M,SBD,Raw,17.0,16-17,14-18,Sub-Juniors,65.4,66,137.5,147.5,152.5,,152.5,95.0,100.0,103.0,,103.0,190.0,200.0,-210.0,,200.0,455.5,1,359.33,360.37,350.32,71.35,Yes,,,NZPF,IPF,2021-04-10,New Zealand,AKL,Auckland,Auckland Powerlifting Championships
Michael Puca,M,SBD,Raw,24.5,24-34,24-39,MR-O,90.5,93,-147.5,190.0,-215.0,,190.0,115.0,125.0,-147.5,,125.0,245.0,265.0,275.0,,275.0,590.0,4,380.44,375.6,359.89,78.22,Yes,USA,NJ,USAPL,IPF,2017-12-10,USA,PA,,Holiday Havoc
Roman Sanetskiy,M,SBD,Raw,31.5,24-34,24-39,Amateur Open,89.7,90,190.0,200.0,205.0,,205.0,150.0,155.0,-160.0,,155.0,240.0,260.0,-275.0,,260.0,620.0,3,401.57,396.48,380.04,82.56,Yes,Russia,,WPC-RUS,WPC,2008-05-24,Russia,MOW,Pushkino,Flawless Victory Raw Powerliftng and Bench Press Meet
Jason Jester,M,SBD,Raw,24.0,24-34,24-39,M_OR_APF,72.2,75,,,,,187.5,,,,,107.5,,,,,212.5,507.5,1,373.26,371.6,359.64,75.47,,,,APF,WPC,2012-03-24,USA,IL,Northbrook,Illinois State Meet
Devon Hood,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,75.3,83,,,,,180.0,,,,,105.0,,,,,195.0,480.0,1,343.49,341.08,329.51,69.84,Yes,Canada,BC,CPU,IPF,2017-02-18,Canada,BC,Burnaby,BCPA Winter Open
Deep Malaviya,M,SBD,Raw,17.5,18-19,14-18,Open,81.65,83,115.0,122.5,130.0,,130.0,85.0,-90.0,90.0,,90.0,165.0,177.5,-185.0,,177.5,397.5,4,270.86,267.96,257.95,55.48,Yes,,,PA,IPF,2015-06-21,Australia,VIC,Melbourne,SFA Winter Open
Andrew Keys,M,SBD,Raw,20.0,20-23,19-23,Open,79.0,82.5,165.0,175.0,180.0,,180.0,110.0,115.0,-122.5,,115.0,227.5,232.5,245.0,,245.0,540.0,6,375.15,371.62,358.27,76.65,,USA,CA,USPA,IPL,2021-11-20,USA,CA,San Diego,San Diego Fit Expo
Carl Schwarz,M,SBD,Raw,36.0,35-39,24-39,Submasters 35-39,126.0,140,125.0,130.0,135.0,,135.0,140.0,-145.0,-145.0,,140.0,197.5,202.5,207.5,,207.5,482.5,1,272.78,274.51,262.49,54.92,,USA,VA,USPA,IPL,2020-01-25,USA,VA,Charlottesville,3rd Annual Piedmont Power Showcase
Saulius Rymašas,M,SBD,Raw,35.5,35-39,24-39,Open,101.1,105,210.0,-217.5,217.5,,217.5,125.0,-130.0,-130.0,,125.0,230.0,240.0,250.0,,250.0,592.5,9,362.98,359.04,342.87,74.46,Yes,,,LJTF,IPF,2017-10-07,Lithuania,,Pakruojis,National Cup
James Gareis,M,SBD,Raw,32.5,24-34,24-39,MR-O,102.35,110,182.5,192.5,-205.0,,192.5,137.5,142.5,152.5,,152.5,227.5,240.0,255.0,,255.0,600.0,2,365.68,361.88,345.55,74.97,Yes,USA,GA,USAPL,,2023-01-07,USA,GA,,TruBorn Rookie Rumble
Matthew Hobeiche,M,SBD,Raw,28.0,24-34,24-39,Open,103.96,105,235.0,-245.0,245.0,,245.0,110.0,117.5,122.5,,122.5,265.0,275.0,280.0,,280.0,647.5,15,392.09,388.29,370.76,80.32,Yes,Lebanon,,AsianPF,IPF,2022-12-02,UAE,,Dubai,Asian Classic Powerlifting Championships
Collin Ford,M,SBD,Raw,17.5,18-19,14-18,MR-T2,89.9,,155.0,-162.5,162.5,,162.5,117.5,-122.5,-122.5,,117.5,175.0,180.0,185.0,,185.0,465.0,5,300.84,297.02,284.68,61.85,Yes,USA,KS,USAPL,,2023-02-18,USA,MO,,Rookie/Novice Showcase
Peter Chau,M,SBD,Raw,29.0,24-34,24-39,Open,75.0,75,152.5,162.5,170.0,,170.0,77.5,82.5,87.5,,87.5,152.5,162.5,172.5,,172.5,430.0,3,308.49,306.4,296.06,62.69,Yes,USA,WA,USPA,IPL,2023-09-23,USA,WA,Kirkland,Drug Tested PNW Fall Classic VI
张天授,M,SBD,Raw,33.0,24-34,24-39,Open,100.1,110,285.0,305.0,315.0,,315.0,170.0,190.0,-200.0,,190.0,260.0,270.0,-275.0,,270.0,775.0,1,476.82,471.47,450.3,97.86,Yes,China,,IPL-China,IPL,2023-06-11,China,HUN,Changsha,Changsha Second Powerlifting Open
Bill Jason Duckworth,M,SBD,Raw,23.5,24-34,24-39,MR-O,73.8,75,-165.0,165.0,-177.5,,165.0,102.5,110.0,-115.0,,110.0,215.0,225.0,-232.5,,225.0,500.0,4,362.46,360.35,348.42,73.51,Yes,USA,MA,USAPL,,2022-07-30,USA,MA,,Cambridge Summer Smash
Jacob Pack,M,SBD,Raw,23.0,20-23,,Juniors 20-23,136.1,140,-195.0,-207.5,210.0,,210.0,125.0,132.5,-140.0,,132.5,210.0,222.5,-235.0,,222.5,565.0,1,312.13,317.1,302.0,62.29,,USA,CA,USPA,IPL,2023-06-24,USA,CA,Huntington Beach,Rise Above Fitness Open
Andrew Pierides,M,SBD,Raw,19.0,18-19,19-23,J15-19,66.4,67.5,185.0,-195.0,200.0,,200.0,140.0,145.0,-150.0,,145.0,170.0,185.0,195.0,,195.0,540.0,1,421.22,421.91,409.86,83.91,Yes,,,AusPL,,2023-06-16,Australia,QLD,Brisbane,Tested Nationals
Wileed Lambaz,M,SBD,Raw,18.5,18-19,19-23,MR-T3,85.4,90,177.5,192.5,-200.0,,192.5,102.5,110.0,112.5,,112.5,192.5,210.0,227.5,,227.5,532.5,2,353.88,349.64,335.89,72.66,Yes,USA,IL,USAPL,,2022-01-29,USA,IL,,Beast of The Metro East
Jahi Jones,M,SBD,Raw,37.0,35-39,24-39,Submasters 35-39,128.45,140,,,,,230.0,,,,,112.5,,,,,240.0,582.5,1,327.36,330.18,315.63,65.77,,USA,CA,USPA,IPL,2018-04-14,USA,CA,Merced,No Limit Best of the West Classic
Andrew Ickler,M,SBD,Raw,17.5,18-19,14-18,MR-T2,70.8,74,157.5,165.0,-172.5,,165.0,105.0,110.0,-115.0,,110.0,182.5,192.5,-197.5,,192.5,467.5,1,348.43,347.33,336.43,70.23,Yes,USA,IL,USAPL,IPF,2016-02-13,USA,IL,,River's Edge
Noa Bouffier,M,SBD,Raw,19.0,18-19,19-23,Juniors,70.6,74,145.0,155.0,-162.5,,155.0,97.5,102.5,107.5,,107.5,175.0,190.0,205.0,,205.0,467.5,G,349.1,348.07,337.2,70.34,Yes,,,FFForce,IPF,2019-11-17,France,,Vitrolles,Départemental FA PL DC BP PACA
Mo Kermo,M,SBD,Raw,24.0,24-34,24-39,Open,118.0,125,-180.0,182.5,187.5,,187.5,135.0,140.0,-145.0,,140.0,180.0,190.0,197.5,,197.5,525.0,1,303.22,303.05,290.32,61.48,Yes,,,WRPF,WRPF,2023-08-26,USA,MO,Columbia,Drug Tested Battle at the Fortress
Daniel Wirt,M,SBD,Raw,18.5,18-19,19-23,MR-T3,72.6,74,,,,,62.5,,,,,100.0,,,,,62.5,225.0,2,164.88,164.08,158.76,33.36,Yes,USA,,USAPL,IPF,2014-12-12,USA,MA,,American Open
Chad Pauley,M,SBD,Raw,33.0,24-34,24-39,MR-O,120.4,120+,215.0,232.5,-252.5,,232.5,125.0,142.5,150.0,,150.0,260.0,275.0,-282.5,,275.0,657.5,15,377.19,377.72,361.96,76.32,Yes,USA,GA,USAPL,IPF,2017-07-08,USA,GA,,5 Bar Showdown
Alex Horvath,M,SBD,Raw,18.5,18-19,19-23,MR-T3,80.15,82.5,150.0,162.5,170.0,,170.0,72.5,77.5,82.5,,82.5,-220.0,235.0,-250.0,,235.0,487.5,3,335.78,332.42,320.27,68.69,Yes,USA,NC,USAPL,,2023-09-09,USA,NC,,Battle on the Border
Lucas Howlett,M,SBD,Raw,26.0,24-34,24-39,MR-O,90.75,93,165.0,177.5,185.0,,185.0,107.5,112.5,-115.0,,112.5,190.0,200.0,-205.0,,200.0,497.5,1,320.35,316.28,303.01,65.87,Yes,,,APU,IPF,2023-06-11,Australia,TAS,,Rumble in the Jungle
Thomas Lillejord,M,SBD,Raw,20.5,20-23,19-23,Juniors 19-23,82.63,83,190.0,-202.5,-202.5,,190.0,145.0,155.0,160.0,,160.0,225.0,235.0,250.0,,250.0,600.0,3,406.07,401.57,386.36,83.24,Yes,Norway,,NSF,IPF,2019-09-13,Norway,,Videbæk Danmark,Nordisk styrkeløft utstyrsfritt ungdom og junior
Winston Yeh,M,SBD,Raw,28.0,24-34,24-39,Open,74.89,75,,,,,175.0,,,,,132.5,,,,,227.5,535.0,3,384.18,381.61,368.75,78.06,,USA,CA,USPA,IPL,2015-01-10,USA,CA,Oceanside,Camp Pendleton Open
Marceli Jerzyński,M,SBD,Raw,22.5,20-23,19-23,Seniorzy,92.9,93,-225.0,230.0,-237.5,,230.0,130.0,135.0,-137.5,,135.0,225.0,235.0,-242.5,,235.0,600.0,14,381.95,377.11,360.95,78.53,Yes,,,PZKFiTS,IPF,2021-06-04,Poland,,Katowice,Akademickie Mistrzostwa Polski w Trójboju Siłowym Klasycznym
Artem Smagin,M,SBD,Raw,18.5,18-19,19-23,Open,65.7,66,,,,,105.0,,,,,87.5,,,,,127.5,320.0,5,251.58,252.21,245.13,50.0,Yes,,,FPR,IPF,2020-02-28,Russia,KYA,Krasnoyarsk,Krasnoyarsk Classic Powerlifting Championships
Ryan Park,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,74.0,75,172.5,180.0,187.5,,187.5,-117.5,122.5,127.5,,127.5,205.0,220.0,-230.0,,220.0,535.0,2,387.15,384.83,372.05,78.54,Yes,USA,IL,USAPL,,2023-10-08,USA,IL,,Windy City Open
William Phillips #1,M,SBD,Raw,31.5,24-34,24-39,Open,100.8,105,247.5,262.5,270.0,,270.0,-187.5,-197.5,197.5,,197.5,295.0,310.0,315.0,,315.0,782.5,2,479.99,474.72,453.36,98.48,Yes,Australia,,PA,WP,2018-10-13,Australia,VIC,Melbourne,Australian National Championships
Anthony Casario,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,72.9,74,172.5,180.0,-187.5,,180.0,102.5,112.5,-115.0,,112.5,182.5,192.5,-200.0,,192.5,485.0,5,354.43,352.63,341.14,71.76,Yes,USA,NY,USAPL,IPF,2016-04-30,USA,NY,,SBWC Spring Classic
Gerick Carbonel,M,SBD,Raw,19.0,18-19,19-23,J18-19,82.9,90,150.0,160.0,170.0,,170.0,95.0,100.0,105.0,,105.0,170.0,180.0,192.5,,192.5,467.5,1,315.82,312.28,300.41,64.75,Yes,USA,CA,WRPF,WRPF,2023-05-06,USA,CA,,Drug Tested South Bay Strength Co Beat Down
岡崎 洋平,M,SBD,Raw,34.5,24-34,24-39,Open,90.54,93,210.0,225.0,230.0,,230.0,135.0,142.5,147.5,,147.5,210.0,225.0,232.5,,232.5,610.0,8,393.25,388.24,372.0,80.86,Yes,,,JPA,IPF,2019-02-09,Japan,,Tsukuba,Japanese Classic Powerlifting Championships
Jin-Ho Jeong,M,SBD,Raw,29.0,24-34,24-39,M_OCR_ABPU,99.3,100,202.5,215.0,-227.5,,215.0,102.5,110.0,117.5,,117.5,205.0,217.5,225.0,,225.0,557.5,1,344.2,340.25,325.02,70.66,Yes,England,,BPU,WPC,2021-06-05,England,,Eastbourne,Eastbourne Qualifier
Julius Bascon,M,SBD,Raw,24.5,24-34,24-39,MR-O,72.86,74,145.0,157.5,165.0,,165.0,100.0,107.5,115.0,,115.0,170.0,182.5,-192.5,,182.5,462.5,4,338.11,336.41,325.45,68.45,Yes,USA,CO,USAPL,IPF,2021-10-23,USA,CO,,Thunder Open
James McMullen,M,SBD,Raw,18.5,18-19,19-23,MR-T3,104.7,105,-157.5,157.5,175.0,,175.0,95.0,105.0,110.0,,110.0,175.0,192.5,197.5,,197.5,482.5,4,291.33,288.61,275.59,59.65,Yes,USA,MO,USAPL,IPF,2017-12-02,USA,KS,,Kansas State Championship
Andrew Giesler,M,SBD,Raw,34.0,24-34,24-39,Open,79.5,82.5,145.0,-157.5,-157.5,,145.0,-97.5,-97.5,97.5,,97.5,175.0,185.0,190.0,,190.0,432.5,1,299.34,296.44,285.71,61.19,,USA,MO,USPA,IPL,2019-11-23,USA,IL,Granite City,Ed Clark Classic
Andrei Buruiana,M,SBD,Raw,22.0,20-23,19-23,M-JR,66.85,67.5,150.0,155.0,-165.0,,155.0,110.0,-115.0,,,110.0,200.0,,,,200.0,465.0,1,360.93,361.33,350.89,72.0,Yes,Moldova,,WDFPF,WDFPF,2002-10-20,Scotland,,Edinburgh,World Powerlifting Championships
Mikhail Bashkov,M,SBD,Raw,23.0,20-23,24-39,J 20-23,128.0,140,230.0,-250.0,-250.0,,230.0,155.0,170.0,175.0,,175.0,250.0,270.0,290.0,-300.0,290.0,695.0,2,391.0,394.21,376.9,78.59,,Russia,,WPC,WPC,2009-10-01,Russia,ROS,Rostov-on-Don,Raw World Championships
Matt Kuntzman,M,SBD,Raw,29.0,24-34,24-39,M_OR_AAPF,88.1,90,167.5,182.5,-192.5,,182.5,127.5,137.5,-145.0,,137.5,205.0,217.5,227.5,,227.5,547.5,4,357.9,353.42,339.04,73.56,Yes,,,APF,WPC,2017-03-25,USA,IL,,IL State Meet
Ben Marmont,M,SBD,Raw,32.0,24-34,24-39,Open,86.8,90,162.5,172.5,182.5,,182.5,97.5,-105.0,105.0,,105.0,200.0,-215.0,-215.0,,200.0,487.5,4,321.17,317.22,304.51,65.98,,USA,AZ,WRPF,WRPF,2023-05-20,USA,AZ,,American Raw Open II
Matthew Mc Cracken,M,SBD,Raw,28.0,24-34,24-39,Open,89.04,90,,,,,200.0,,,,,135.0,,,,,205.0,540.0,3,351.07,346.64,332.38,72.17,Yes,USA,VA,RAW,,2018-03-17,USA,VA,Vienna,Potomac Open
Benjamin Fenelon,M,SBD,Raw,19.5,20-23,19-23,MR-C,70.7,74,125.0,-140.0,147.5,,147.5,90.0,95.0,-102.5,,95.0,150.0,160.0,170.0,,170.0,412.5,10,307.73,306.79,297.19,62.02,Yes,USA,MA,USAPL,,2021-11-14,USA,MA,,Raw Collegiate Cup
Benjamin Brown,M,SBD,Raw,29.5,24-34,24-39,MR-O,104.5,105,217.5,227.5,237.5,,237.5,130.0,137.5,-142.5,,137.5,225.0,232.5,245.0,,245.0,620.0,4,374.64,371.11,354.36,76.72,Yes,USA,NC,USAPL,IPF,2017-11-04,USA,NC,,Fall Festival of Power
Thomas Rea,M,SBD,Raw,27.0,24-34,24-39,Open,79.7,82.5,175.0,182.5,190.0,,190.0,137.5,-147.5,147.5,,147.5,215.0,227.5,240.0,,240.0,577.5,4,399.1,395.2,380.85,81.61,Yes,USA,SC,USPA,IPL,2022-07-30,USA,SC,Rock Hill,Drug Tested Summer Border Wars
Sam Ross,M,SBD,Raw,16.5,16-17,14-18,MR-T2,68.6,75,-70.0,80.0,-85.0,,80.0,65.0,70.0,-72.5,,70.0,102.5,112.5,120.0,,120.0,270.0,3,205.71,205.53,199.36,41.24,Yes,USA,OK,USAPL,,2023-08-12,USA,OK,,Stillwater Showdown
Quinn Slatter,M,SBD,Raw,24.5,24-34,24-39,MR-O,73.8,74,-142.5,155.0,-170.0,,155.0,-92.5,105.0,-110.0,,105.0,150.0,-167.5,175.0,,175.0,435.0,1,315.34,313.5,303.13,63.95,Yes,USA,WA,USAPL,IPF,2021-09-04,USA,WA,,Festival of Steel
Mason Porter,M,SBD,Raw,20.0,20-23,19-23,Juniors 20-23,89.1,90,202.5,-210.0,210.0,,210.0,125.0,132.5,137.5,,137.5,257.5,-265.0,-275.0,,257.5,605.0,1,393.19,388.23,372.24,80.83,Yes,USA,TN,USPA,IPL,2022-08-21,USA,TN,Eastridge,Drug Tested Scenic City Showdown
Eselebor Okojie,M,SBD,Raw,24.5,24-34,24-39,MR-O,97.45,105,-195.0,195.0,-215.0,,195.0,-140.0,140.0,-145.0,,140.0,235.0,-242.5,250.0,,250.0,585.0,9,364.2,359.84,343.88,74.82,Yes,USA,MD,USAPL,IPF,2021-11-06,USA,VA,,Virginia Winter Wrecker
Alex Olmos,M,SBD,Raw,26.5,24-34,24-39,MR-O,83.55,93,172.5,180.0,187.5,,187.5,127.5,135.0,140.0,,140.0,170.0,180.0,190.0,,190.0,517.5,3,348.07,344.09,330.89,71.4,Yes,USA,OK,USAPL,IPF,2020-12-13,USA,GA,,Suwanee Holiday Havoc
